origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min,min_por_km
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",DRIVE,16:00,2026-02-27,3.71,15.1,15.2,0.1,4.097035040431266
"Móstoles, Madrid","Leganés, Madrid",DRIVE,22:00,2026-02-27,11.77,22.1,19.1,-3.0,1.6227697536108754
"Retiro, Madrid","Leganés, Madrid",DRIVE,21:00,2026-02-27,14.27,23.3,20.7,-2.6,1.4505956552207429
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",DRIVE,02:00,2026-02-27,34.15,29.0,28.3,-0.7,0.8286969253294291
"Estación de Chamartín, Madrid",Salamanca,DRIVE,18:00,2026-02-27,214.75,133.4,138.2,4.8,0.6435389988358556
"Puerta del Sol, Madrid","Coslada, Madrid",DRIVE,09:00,2026-02-27,20.72,28.7,27.4,-1.3,1.3223938223938223
"Getafe, Madrid","Parla, Madrid",DRIVE,22:00,2026-02-27,10.84,15.5,13.6,-1.9,1.2546125461254611
"Puerta del Sol, Madrid","Coslada, Madrid",DRIVE,19:00,2026-02-27,20.72,28.7,29.0,0.3,1.3996138996138996
"Estación de Chamartín, Madrid","Bilbao, España",DRIVE,09:00,2026-02-27,387.98,233.3,224.4,-8.9,0.5783803288829321
"Retiro, Madrid","Ciudad Universitaria, Madrid",DRIVE,07:00,2026-02-27,8.78,22.4,20.5,-1.9,2.334851936218679
"Tres Cantos, Madrid","Alcobendas, Madrid",DRIVE,04:00,2026-02-27,17.22,15.6,15.0,-0.6,0.8710801393728224
"Moncloa, Madrid","Boadilla del Monte, Madrid",DRIVE,18:00,2026-02-27,20.84,19.4,19.8,0.4,0.9500959692898273
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",DRIVE,20:00,2026-02-27,5.83,17.7,19.1,1.4,3.2761578044596913
"Estación de Atocha, Madrid","Aranjuez, Madrid",DRIVE,14:00,2026-02-27,47.89,43.0,47.7,4.7,0.9960325746502402
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",DRIVE,05:00,2026-02-27,26.62,27.8,24.9,-2.9,0.9353869271224642
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",DRIVE,04:00,2026-02-27,3.71,15.1,10.3,-4.8,2.776280323450135
"Aranjuez, Madrid","Ocaña, Toledo",DRIVE,05:00,2026-02-27,16.03,17.0,16.3,-0.7,1.0168434185901434
"Estación de Atocha, Madrid","Parla, Madrid",DRIVE,08:00,2026-02-27,24.36,29.1,27.5,-1.6,1.1288998357963875
"Puerta del Sol, Madrid","Moncloa, Madrid",DRIVE,17:00,2026-02-27,11.92,20.5,20.9,0.4,1.7533557046979864
"Estación de Chamartín, Madrid",Salamanca,DRIVE,23:00,2026-02-27,214.75,133.4,132.8,-0.6,0.6183934807916183
"Estación de Atocha, Madrid",Cuenca,DRIVE,22:00,2026-02-27,164.27,98.5,95.2,-3.3,0.5795336945273026
"Estación de Chamartín, Madrid","San Sebastián, España",DRIVE,05:00,2026-02-27,442.83,268.6,271.6,3.0,0.6133279136463203
"Estación de Atocha, Madrid",Toledo,DRIVE,14:00,2026-02-27,73.34,57.2,62.5,5.3,0.8521952549768202
"Estación de Atocha, Madrid",Segovia,DRIVE,04:00,2026-02-27,99.76,74.5,70.5,-4.0,0.7066960705693665
"Estación de Atocha, Madrid",Segovia,DRIVE,14:00,2026-02-27,99.76,74.5,77.6,3.1,0.7778668805132316
